Case,family,father,mother,midparentHeight,children,childNum,gender,childHeight
779,170,67.5,62.0,67.23,5,4,male,68.5
228,58,71.0,62.0,68.98,7,2,male,70.0
798,173,66.0,67.0,69.18,9,9,female,60.0
421,97,69.0,68.5,71.49,10,9,female,64.0
761,167,67.0,64.0,68.06,4,1,male,71.5
766,168,67.0,63.5,67.79,8,2,male,70.2
427,99,69.0,66.0,70.14,8,4,male,71.5
60,17,73.0,64.5,71.33,6,2,male,73.0
335,79,70.5,64.0,69.81,8,8,female,65.0
913,198,64.0,64.0,66.56,7,3,female,65.5
812,176,66.5,65.0,68.35,8,3,male,66.5
840,183,66.0,60.0,65.4,4,1,male,68.0
536,120,69.5,62.0,68.23,11,11,female,61.5
544,121,69.0,62.5,68.25,8,8,female,62.0
8,2,75.5,66.5,73.66,4,4,female,65.5
315,76,70.0,64.0,69.56,7,4,male,67.0
156,42,71.0,65.5,70.87,6,2,male,72.0
378,88,70.0,63.0,69.02,4,4,female,61.0
665,145,68.0,63.0,68.02,8,1,male,71.0
102,28,72.0,63.0,70.02,6,2,male,67.0
200,53,71.0,63.0,69.52,9,2,male,70.0
437,101,69.0,66.7,70.518,4,3,male,72.0
917,198,64.0,64.0,66.56,7,7,female,61.0
410,96,70.0,58.0,66.32,5,3,female,66.0
603,135,68.5,65.0,69.35,8,2,male,68.0
785,172,66.0,67.0,69.18,8,4,male,66.0
527,120,69.5,62.0,68.23,11,2,male,70.0
597,133,68.0,65.5,69.37,7,7,female,61.5
537,121,69.0,62.5,68.25,8,1,male,71.0
870,189,65.0,66.0,68.14,5,2,male,66.0
863,186,65.0,67.0,68.68,4,4,female,65.0
469,107,69.0,66.0,70.14,9,1,male,73.0
542,121,69.0,62.5,68.25,8,6,female,62.5
706,156,68.0,60.0,66.4,4,4,female,60.0
383,89,70.5,62.0,68.73,8,5,male,68.0
760,166,67.5,65.0,68.85,11,11,female,62.0
540,121,69.0,62.5,68.25,8,4,male,69.0
546,122,69.0,62.0,67.98,4,2,male,68.0
680,148,68.0,63.0,68.02,1,1,male,70.0
213,55,71.0,62.0,68.98,5,2,male,70.0
80,22,72.0,67.0,72.18,3,1,male,73.0
149,40,71.0,66.0,71.14,5,1,male,76.0
372,87,70.0,63.0,69.02,4,2,male,67.0
431,99,69.0,66.0,70.14,8,8,female,62.5
293,72,70.0,65.0,70.1,7,1,male,79.0
413,97,69.0,68.5,71.49,10,1,male,75.0
746,164,67.0,65.5,68.87,4,4,female,60.0
134,36,71.0,67.0,71.68,4,2,male,73.0
619,136,68.0,64.0,68.56,10,2,male,68.0
866,188,65.0,66.0,68.14,4,2,female,63.0
852,185,66.0,59.0,64.86,15,8,female,65.0
500,113,69.0,63.0,68.52,1,1,male,72.0
658,142,68.5,63.5,68.54,4,3,male,69.5
502,114,69.0,63.0,68.52,6,2,male,70.0
676,146,68.0,63.0,68.02,6,4,female,64.0
586,130,68.5,66.5,70.16,11,11,female,63.2
405,95,70.0,58.5,66.59,3,1,male,71.5
860,186,65.0,67.0,68.68,4,1,male,66.5
173,46,71.0,64.0,70.06,8,6,female,66.0
496,111,69.0,63.5,68.79,1,1,female,65.5
736,162,67.0,65.0,68.6,6,5,female,64.5
358,84,70.5,63.0,69.27,4,1,male,70.0
886,192,65.0,65.0,67.6,6,2,male,69.0
91,25,72.0,64.0,70.56,2,1,female,66.0
875,190,65.0,65.0,67.6,9,2,male,68.0
182,48,71.0,64.0,70.06,3,3,male,68.0
275,69,70.0,65.0,70.1,8,2,male,72.0
834,181,66.5,62.5,67.0,7,3,female,63.5
70,20,72.7,69.0,73.61,8,2,male,73.0
