Date,DateKey,Calendar Year Number,Calendar Year,Calendar Year Quarter Number,Calendar Year Quarter,Calendar Year Month Number,Calendar Year Month,Month Number,Month,Working Day,Is Holiday,Holiday Name,Europe Season,North America Season,Asia Season
2011/12/31,20111231,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WeekEnd,0,None,Holiday,Holiday,Holiday
2011/12/30,20111230,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WorkDay,0,None,Holiday,Holiday,Holiday
2011/12/29,20111229,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WorkDay,0,None,Holiday,Holiday,Holiday
2011/12/28,20111228,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WorkDay,0,None,Holiday,Holiday,Holiday
2011/12/27,20111227,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WorkDay,0,None,Holiday,Holiday,Holiday
2011/12/26,20111226,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WorkDay,0,None,Holiday,Holiday,Holiday
2011/12/25,20111225,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WeekEnd,0,None,Holiday,Holiday,Holiday
2011/12/24,20111224,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WeekEnd,0,None,Holiday,Holiday,Holiday
2011/12/23,20111223,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WorkDay,0,None,Holiday,Holiday,Holiday
2011/12/22,20111222,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WorkDay,0,None,Holiday,Holiday,Holiday
2011/12/21,20111221,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WorkDay,0,None,Holiday,Holiday,Holiday
2011/12/20,20111220,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WorkDay,0,None,Holiday,Holiday,Holiday
2011/12/19,20111219,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WorkDay,0,None,Holiday,Holiday,Holiday
2011/12/18,20111218,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WeekEnd,0,None,Holiday,Holiday,Holiday
2011/12/17,20111217,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WeekEnd,0,None,Holiday,Holiday,Holiday
2011/12/16,20111216,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WorkDay,0,None,Holiday,Holiday,Holiday
2011/12/15,20111215,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WorkDay,0,None,Holiday,Holiday,Holiday
2011/12/14,20111214,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WorkDay,0,None,Holiday,Holiday,Holiday
2011/12/13,20111213,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WorkDay,0,None,Holiday,Holiday,Holiday
2011/12/12,20111212,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WorkDay,0,None,Holiday,Holiday,Holiday
2011/12/11,20111211,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WeekEnd,0,None,Holiday,Holiday,Holiday
2011/12/10,20111210,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WeekEnd,0,None,Holiday,Holiday,Holiday
2011/12/09,20111209,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WorkDay,0,None,Holiday,Holiday,Holiday
2011/12/08,20111208,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WorkDay,0,None,Holiday,Holiday,Holiday
2011/12/07,20111207,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WorkDay,0,None,Holiday,Holiday,Holiday
2011/12/06,20111206,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WorkDay,0,None,Holiday,Holiday,Holiday
2011/12/05,20111205,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WorkDay,0,None,Holiday,Holiday,Holiday
2011/12/04,20111204,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WeekEnd,0,None,Holiday,Holiday,Holiday
2011/12/03,20111203,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WeekEnd,0,None,Holiday,Holiday,Holiday
2011/12/02,20111202,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WorkDay,0,None,Holiday,Holiday,Holiday
2011/12/01,20111201,2011,CY 2011,20114,Q4-2011,201112,Dec-11,12,December,WorkDay,0,None,Holiday,Holiday,Holiday
2011/11/30,20111130,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WorkDay,0,None,Holiday,Holiday,Holiday
2011/11/29,20111129,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WorkDay,0,None,Holiday,Holiday,Holiday
2011/11/28,20111128,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WorkDay,0,None,Holiday,Holiday,Holiday
2011/11/27,20111127,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WeekEnd,0,None,Holiday,Holiday,Holiday
2011/11/26,20111126,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WeekEnd,0,None,Holiday,Holiday,Holiday
2011/11/25,20111125,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WorkDay,0,None,Holiday,Holiday,Holiday
2011/11/24,20111124,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WorkDay,0,None,Holiday,Holiday,Holiday
2011/11/23,20111123,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WorkDay,0,None,Holiday,Holiday,Holiday
2011/11/22,20111122,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WorkDay,0,None,Holiday,Holiday,Holiday
2011/11/21,20111121,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WorkDay,0,None,Holiday,Holiday,Holiday
2011/11/20,20111120,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WeekEnd,0,None,Holiday,Holiday,Holiday
2011/11/19,20111119,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WeekEnd,0,None,Holiday,Holiday,Holiday
2011/11/18,20111118,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WorkDay,0,None,Holiday,Holiday,Holiday
2011/11/17,20111117,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WorkDay,0,None,Holiday,Holiday,Holiday
2011/11/16,20111116,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WorkDay,0,None,Holiday,Holiday,Holiday
2011/11/15,20111115,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WorkDay,0,None,Holiday,Holiday,Holiday
2011/11/14,20111114,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WorkDay,0,None,Holiday,Holiday,Holiday
2011/11/13,20111113,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WeekEnd,0,None,Holiday,Holiday,Holiday
2011/11/12,20111112,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WeekEnd,0,None,Holiday,Holiday,Holiday
2011/11/11,20111111,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WorkDay,0,None,Holiday,Holiday,Holiday
2011/11/10,20111110,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WorkDay,0,None,Holiday,Holiday,Holiday
2011/11/09,20111109,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WorkDay,0,None,Holiday,Holiday,Holiday
2011/11/08,20111108,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WorkDay,0,None,Holiday,Holiday,Holiday
2011/11/07,20111107,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WorkDay,0,None,Holiday,Holiday,Holiday
2011/11/06,20111106,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WeekEnd,0,None,Holiday,Holiday,Holiday
2011/11/05,20111105,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WeekEnd,0,None,Holiday,Holiday,Holiday
2011/11/04,20111104,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WorkDay,0,None,Holiday,Holiday,Holiday
2011/11/03,20111103,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WorkDay,0,None,Holiday,Holiday,Holiday
2011/11/02,20111102,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WorkDay,0,None,Holiday,Holiday,Holiday
2011/11/01,20111101,2011,CY 2011,20114,Q4-2011,201111,Nov-11,11,November,WorkDay,0,None,Holiday,Holiday,Holiday
2011/10/31,20111031,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WorkDay,0,None,Holiday,None,None
2011/10/30,20111030,2011,CY 2011,20114,Q4-2011,201110,Oct-11,10,October,WeekEnd,0,None,Holiday,None,None
