ProductKey,Product Code,Product Name,Product Description,ProductSubcategoryKey,Manufacturer,Brand,Class,Style,Color,Size,Weight,Weight Unit Measure,Stock Type Code,Stock Type,Unit Cost,Unit Price,Available Date,Status
1722,0702016,MGS Zoo Tycoon 2: End range Species Expansion Pack E105,Zoo Tycoon 2: Endangered Species Expansion Pack,39,Tailspin Toys,Tailspin Toys,Economy,Product0702016,Silver,,,,3,Low,$28.55,$56.00,2006/05/12,On
1723,0702017,MGS Age of Empires III: The Asian Dynasties E106,Age of Empires III: The Asian Dynasties,39,Tailspin Toys,Tailspin Toys,Economy,Product0702017,Pink,,,,3,Low,$28.55,$56.00,2007/04/05,On
1724,0702018,MGS Fable: The Lost Chapters E107,Fable: The Lost Chapters,39,Tailspin Toys,Tailspin Toys,Economy,Product0702018,Silver,,,,3,Low,$28.55,$56.00,2007/04/05,On
1725,0702019,MGS Dungeon Siege II E105,Dungeon Siege II,39,Tailspin Toys,Tailspin Toys,Economy,Product0702019,Silver,,,,3,Low,$28.55,$56.00,2009/01/02,On
1726,0702020,MGS Zoo Tycoon 2 E108,Zoo Tycoon 2,39,Tailspin Toys,Tailspin Toys,Economy,Product0702020,Silver,,,,3,Low,$28.55,$56.00,2009/01/03,On
1727,0702021,MGS Rise of Nations: Gold Edition M300,Rise of Nations: Gold Edition,39,Tailspin Toys,Tailspin Toys,Economy,Product0702021,Pink,,,,3,Low,$25.75,$56.00,2005/01/04,On
1733,0702027,MGS Halo: Combat Evolved E109,Halo: Combat Evolved,39,Tailspin Toys,Tailspin Toys,Economy,Product0702027,Silver,,,,3,Low,$11.62,$22.79,2005/01/02,On
1734,0702028,MGS Zoo Tycoon Complete Collection E110,Zoo Tycoon Complete Collection,39,Tailspin Toys,Tailspin Toys,Economy,Product0702028,Blue,,,,3,Low,$14.28,$28.00,2005/01/03,On
1735,0702029,MGS Flight Simulator 2004: A Century of Flight E111,Flight Simulator 2004: A Century of Flight,39,Tailspin Toys,Tailspin Toys,Economy,Product0702029,Black,,,,3,Low,$14.28,$28.00,2005/01/04,On
1736,0702030,MGS Rise of Nations E112,Rise of Nations,39,Tailspin Toys,Tailspin Toys,Economy,Product0702030,White,,,,3,Low,$14.28,$28.00,2007/04/05,On
1737,0702031,MGS Freelancer E113,Freelancer,39,Tailspin Toys,Tailspin Toys,Economy,Product0702031,Silver,,,,3,Low,$14.28,$28.00,2006/05/11,On
1738,0702032,MGS Impossible Creatures E114,Impossible Creatures,39,Tailspin Toys,Tailspin Toys,Economy,Product0702032,Blue,,,,3,Low,$14.28,$28.00,2009/01/02,On
1739,0702033,MGS RalliSport Challenge E115,RalliSport Challenge,39,Tailspin Toys,Tailspin Toys,Economy,Product0702033,Silver,,,,3,Low,$14.28,$28.00,2009/01/02,On
1740,0702034,MGS MechCollection E116,MechCollection,39,Tailspin Toys,Tailspin Toys,Economy,Product0702034,Silver,,,,3,Low,$14.28,$28.00,2005/05/07,On
1741,0702035,MGS MechWarrior 4: Mercenaries E117,MechWarrior 4: Mercenaries,39,Tailspin Toys,Tailspin Toys,Economy,Product0702035,Blue,,,,3,Low,$14.28,$28.00,2004/05/04,On
1742,0702036,MGS Age of Mythology E118,Age of Mythology,39,Tailspin Toys,Tailspin Toys,Economy,Product0702036,Pink,,,,3,Low,$14.28,$28.00,2005/01/02,On
1743,0702037,MGS Combat Flight Simulator 3 E119,Combat Flight Simulator 3,39,Tailspin Toys,Tailspin Toys,Economy,Product0702037,Blue,,,,3,Low,$14.28,$28.00,2005/01/03,On
1744,0702038,MGS Zoo Tycoon Marine Mania E120,Zoo Tycoon Marine Mania,39,Tailspin Toys,Tailspin Toys,Economy,Product0702038,Black,,,,3,Low,$14.28,$28.00,2005/01/04,On
1755,0702049,MGS MechWarrior 4: Knight E121,MechWarrior 4: Black Knight,39,Tailspin Toys,Tailspin Toys,Economy,Product0702049,Black,,,,3,Low,$33.09,$64.90,2006/05/08,On
1756,0702050,MGS Age of Empires II Gold Edition E122,Age of Empires II Gold Edition,39,Tailspin Toys,Tailspin Toys,Economy,Product0702050,Black,,,,3,Low,$33.09,$64.90,2006/05/08,On
1757,0702051,MGS MechCommander 2 E123,MechCommander 2,39,Tailspin Toys,Tailspin Toys,Economy,Product0702051,Black,,,,3,Low,$28.50,$55.90,2005/01/04,On
1758,0702052,MGS Train Simulator E124,Train Simulator,39,Tailspin Toys,Tailspin Toys,Economy,Product0702052,White,,,,3,Low,$25.77,$50.54,2005/05/07,On
1762,0702056,MGS Age of Empires II: The Conquerors Expansion E125,Age of Empires II: The Conquerors Expansion,39,Tailspin Toys,Tailspin Toys,Economy,Product0702056,Black,,,,3,Low,$16.00,$31.39,2005/01/04,On
1764,0702058,MGS Age of Empires II: The Age of Kings E126,Age of Empires II: The Age of Kings,39,Tailspin Toys,Tailspin Toys,Economy,Product0702058,Blue,,,,3,Low,$23.86,$46.80,2009/01/02,On
1770,0702064,MGS Age of Empires III: The Asian Dynasties 2008 E126,Age of Empires III: The Asian Dynasties 2008,39,Tailspin Toys,Tailspin Toys,Economy,Product0702064,White,,,,3,Low,$17.33,$34.00,2006/02/08,On
1771,0702065,MGS Age of Empires III: The Asian Dynasties 2009 E127,Age of Empires III: The Asian Dynasties 2009,39,Tailspin Toys,Tailspin Toys,Economy,Product0702065,White,,,,3,Low,$17.33,$34.00,2005/01/04,On
1772,0702066,MGS Flight Simulator X Acceleration Expansion Pack 2009 E128,Flight Simulator X Acceleration Expansion Pack 2009,39,Tailspin Toys,Tailspin Toys,Economy,Product0702066,Blue,,,,3,Low,$17.33,$34.00,2005/02/08,On
1773,0702067,MGS Zoo Tycoon 2: Extinct Animals 2008 E129,Zoo Tycoon 2: Extinct Animals 2008,39,Tailspin Toys,Tailspin Toys,Economy,Product0702067,Black,,,,3,Low,$21.92,$43.00,2005/03/08,On
1774,0702068,MGS Halo 2 for Windows Vista 2009 E130,Halo 2 for Windows Vista 2009,39,Tailspin Toys,Tailspin Toys,Economy,Product0702068,Silver,,,,3,Low,$21.92,$43.00,2005/02/03,On
1775,0702069,MGS Shadow-run 2008 E131,Shadow run 2008,39,Tailspin Toys,Tailspin Toys,Economy,Product0702069,Pink,,,,3,Low,$21.92,$43.00,2006/02/09,On
1776,0702070,MGS Age of Empires III: The War Chiefs 2007 E132,Age of Empires III : The War Chiefs 2007,39,Tailspin Toys,Tailspin Toys,Economy,Product0702070,Black,,,,3,Low,$21.92,$43.00,2007/08/09,On
1777,0702071,MGS Flight Simulator X 2008 E133,Flight Simulator X 2008,39,Tailspin Toys,Tailspin Toys,Economy,Product0702071,Silver,,,,3,Low,$21.92,$43.00,2008/02/09,On
1778,0702072,MGS Zoo Tycoon 2: Zookeeper Collection 2008 E134,Zoo Tycoon 2: Zookeeper Collection 2008,39,Tailspin Toys,Tailspin Toys,Economy,Product0702072,Pink,,,,3,Low,$21.92,$43.00,2009/01/09,On
1779,0702073,MGS Zoo Tycoon2: Marine Mania Expansion Pack 2008 E135,Zoo Tycoon2: Marine Mania Expansion Pack 2008,39,Tailspin Toys,Tailspin Toys,Economy,Product0702073,Blue,,,,3,Low,$21.92,$43.00,2008/03/09,On
1780,0702074,MGS Zoo Tycoon 2: African Adventure 2008 E136,Zoo Tycoon 2: African Adventure 2008,39,Tailspin Toys,Tailspin Toys,Economy,Product0702074,Blue,,,,3,Low,$21.92,$43.00,2005/02/08,On
1781,0702075,MGS Rise of Nations: Rise of Legends 2008 E137,Rise of Nations: Rise of Legends 2008,39,Tailspin Toys,Tailspin Toys,Economy,Product0702075,White,,,,3,Low,$21.92,$43.00,2009/01/02,On
1782,0702076,MGS Zoo Tycoon 2: End Range Species Expansion Pack 2008 E138,Zoo Tycoon 2: Endangered Species Expansion Pack 2008,39,Tailspin Toys,Tailspin Toys,Economy,Product0702076,Silver,,,,3,Low,$21.92,$43.00,2007/01/04,On
